the price of gas is high
Direct
0.6 0.6
432 388.8
Began 673.6479 314 514 -0.1064815 0.324074
Stationary 673.6788 314 514 -0.1064815 0.324074
Stationary 673.7095 314 514 -0.1064815 0.324074
Moved 673.7402 326.3195 497.8137 -0.07796416 0.2824424
Moved 673.7709 350.0416 473.4554 -0.0230518 0.2197926
Moved 673.8017 380.0247 436.1503 0.04635354 0.1238434
Moved 673.8325 398.1711 405.7148 0.08835901 0.04556271
Moved 673.8632 409.4121 387.1758 0.1143798 -0.002119825
Moved 673.8939 413.233 377.0679 0.1232246 -0.02811746
Moved 673.9247 415.9964 367.0143 0.1296213 -0.05397553
Moved 673.9554 417 360.4772 0.1319444 -0.07078916
Moved 673.9862 417 357.5 0.1319444 -0.07844657
Moved 674.0169 417 358 0.1319444 -0.07716057
Moved 674.0477 380.9795 379.3184 0.04856368 -0.02232916
Moved 674.0784 352.4612 405.0849 -0.0174509 0.04394264
Moved 674.1091 326.5165 431.4261 -0.07750809 0.1116925
Moved 674.1399 292.6309 464.3164 -0.1559471 0.196287
Moved 674.2014 272 482 -0.2037037 0.2417695
Moved 674.2321 271.3785 482 -0.2051422 0.2417695
Moved 674.2629 270.0068 482 -0.2083175 0.2417695
Ended 674.2936 270 483.3856 -0.2083333 0.2453333
Began 675.1852 578 486 0.5046296 0.2520575
Stationary 675.2159 578 486 0.5046296 0.2520575
Stationary 675.2467 578 486 0.5046296 0.2520575
Moved 675.2775 563.4518 486 0.4709534 0.2520575
Moved 675.3081 552.3477 486 0.4452492 0.2520575
Moved 675.3389 537.8811 486 0.4117618 0.2520575
Moved 675.3696 507.9087 486 0.3423812 0.2520575
Moved 675.4004 481.0947 486 0.2803119 0.2520575
Moved 675.4312 439.0488 486 0.1829833 0.2520575
Moved 675.4619 398.5209 486 0.08916875 0.2520575
Moved 675.4926 357.8884 486 -0.004887878 0.2520575
Moved 675.5234 329.9509 486 -0.06955812 0.2520575
Moved 675.5541 299.0655 475.6885 -0.1410521 0.2255363
Moved 675.5849 279.6579 469.2632 -0.185977 0.2090102
Moved 675.6156 269.7633 466 -0.2088812 0.2006171
Moved 675.6464 266.9415 465 -0.2154133 0.1980452
Moved 675.6771 267 463.6414 -0.2152778 0.1945507
Moved 675.7078 271.7133 464 -0.2043673 0.1954732
Moved 675.7386 302.2053 464 -0.133784 0.1954732
Moved 675.7693 338.5692 472.5425 -0.04960844 0.2174447
Moved 675.8 378.4475 477.5373 0.04270255 0.2302914
Moved 675.8308 411.5675 482.5946 0.1193691 0.2432988
Moved 675.8616 430.7905 484 0.1638669 0.2469135
Moved 675.8923 448.2207 486.5368 0.2042145 0.2534381
Moved 675.923 463.4987 487 0.2395803 0.2546296
Moved 675.9538 476.2639 489 0.2691293 0.2597736
Moved 675.9845 483.1473 489 0.2850633 0.2597736
Moved 676.0152 487 489 0.2939814 0.2597736
Moved 676.046 488.0399 489 0.2963886 0.2597736
Stationary 676.0768 488 489 0.2962963 0.2597736
Moved 676.1075 488 480.5831 0.2962963 0.2381251
Moved 676.1382 480.125 471.0625 0.2780672 0.2136381
Moved 676.169 459.8571 450.5974 0.2311507 0.1610015
Moved 676.1998 427.5 419 0.15625 0.07973251
Moved 676.2305 396.3639 384.3942 0.08417577 -0.009274188
Moved 676.2612 369.1436 350.6796 0.02116581 -0.09598892
Moved 676.292 347 322 -0.0300926 -0.1697531
Moved 676.3228 334.3345 294.6689 -0.05941093 -0.240049
Moved 676.3535 326.331 266.3167 -0.0779376 -0.3129714
Moved 676.3842 324 244.0472 -0.08333336 -0.3702489
Moved 676.415 324 223.8073 -0.08333336 -0.4223064
Moved 676.4457 324 214.7089 -0.08333336 -0.4457077
Moved 676.4764 324 208.191 -0.08333336 -0.4624717
Moved 676.5071 324 206.9265 -0.08333336 -0.4657241
Moved 676.538 324 216.0934 -0.08333336 -0.4421467
Moved 676.5687 311.6259 249.7656 -0.111977 -0.3555411
Moved 676.5994 298.5202 292.5355 -0.1423144 -0.2455364
Moved 676.6301 286.5678 338.8706 -0.1699819 -0.1263616
Moved 676.6609 274 383.5 -0.199074 -0.01157415
Moved 676.6917 264.9151 414.382 -0.220104 0.0678549
Moved 676.7224 257.4122 438.3511 -0.2374717 0.1295039
Moved 676.7531 252.5 452 -0.2488426 0.164609
