this is a non profit organization
Direct
0.6 0.6
432 388.8
Began 226.283 305 541 -0.1273148 0.3935184
Stationary 226.3137 305 541 -0.1273148 0.3935184
Stationary 226.3445 305 541 -0.1273148 0.3935184
Moved 226.3752 317.3534 516.2932 -0.098719 0.3299722
Moved 226.406 339.6763 475.6474 -0.0470456 0.2254305
Moved 226.4367 365.3073 427.2469 0.01228541 0.1009436
Moved 226.4675 391.7772 385.712 0.07355829 -0.005884877
Moved 226.4982 397.1598 376.7205 0.08601795 -0.02901124
Moved 226.5289 400.19 373.81 0.09303241 -0.03649692
Moved 226.5597 406.4211 373 0.1074562 -0.03858032
Moved 226.5904 417.6939 394.7103 0.1335508 0.01725895
Moved 226.6211 430.6787 422.1967 0.1636081 0.08795451
Moved 226.6519 438.594 438.0396 0.1819306 0.1287025
Moved 226.6826 445.1964 453.3928 0.1972139 0.1681912
Moved 226.7134 450.5476 469.9166 0.2096009 0.2106908
Moved 226.7442 452 485.309 0.2129629 0.2502802
Moved 226.7749 452 492.1068 0.2129629 0.2677642
Moved 226.8056 432.2769 494 0.1673076 0.2726337
Moved 226.8363 403.5293 484.4796 0.1007622 0.248147
Moved 226.8671 357.2957 458.5305 -0.006259829 0.1814055
Moved 226.8978 320.66 433.7734 -0.09106472 0.1177298
Moved 226.9286 295.568 413.14 -0.1491482 0.06466049
Moved 226.9593 286.7673 405.8837 -0.1695201 0.04599708
Ended 226.99 285.628 404.6281 -0.1721573 0.04276762
Began 227.6357 461 533 0.2337964 0.3729423
Moved 227.6664 446.5559 520.4818 0.2003608 0.3407452
Moved 227.6972 412 491.5 0.1203704 0.2662036
Moved 227.7279 358.7115 447.9828 -0.002982517 0.1542766
Moved 227.7587 309.065 406.8392 -0.117905 0.04845462
Moved 227.7894 267.3759 376.032 -0.2144075 -0.03078194
Moved 227.8201 245.2314 361.4876 -0.265668 -0.06819038
Moved 227.8508 241.0303 359.0303 -0.2753928 -0.07451069
Ended 227.8816 241 359 -0.275463 -0.07458848
Began 228.6041 188 385 -0.3981482 -0.007716127
Stationary 228.6349 188 385 -0.3981482 -0.007716127
Stationary 228.6656 188 385 -0.3981482 -0.007716127
Stationary 228.6964 188 385 -0.3981482 -0.007716127
Ended 228.7271 188 385 -0.3981482 -0.007716127
Began 229.6492 439 263 0.1828703 -0.3215021
Stationary 229.68 439 263 0.1828703 -0.3215021
Stationary 229.7108 439 263 0.1828703 -0.3215021
Moved 229.7415 439 271.2369 0.1828703 -0.3003167
Moved 229.7722 463.0163 320.3391 0.2384637 -0.1740249
Moved 229.803 492.4249 378.6051 0.306539 -0.02416383
Moved 229.8337 513.4508 429.5461 0.3552102 0.1068573
Moved 229.8644 529.1747 471.7993 0.3916081 0.215533
Moved 229.8947 534.6555 496.2442 0.4042952 0.2784058
Moved 229.926 536 508.7751 0.4074074 0.3106355
Moved 229.9567 536 513.4999 0.4074074 0.3227879
Moved 229.9874 536 516.3099 0.4074074 0.3300151
Moved 230.0182 525.3184 518.8408 0.3826814 0.3365246
Moved 230.0489 523.8751 519 0.3793406 0.3369341
Moved 230.0797 518.6458 519 0.3672357 0.3369341
Moved 230.1104 514.5315 519 0.3577118 0.3369341
Moved 230.1412 503.7924 507.7924 0.3328527 0.3081078
Moved 230.1719 500.965 505.9825 0.3263079 0.3034528
Moved 230.2026 496.4172 500.2517 0.3157806 0.2887131
Moved 230.2333 490.5944 493.5944 0.3023017 0.2715903
Moved 230.2641 477.8164 470.5686 0.2727231 0.2123678
Moved 230.2948 447.5901 390.9065 0.2027549 0.007475433
Moved 230.3256 424.9502 308.8008 0.1503477 -0.2037016
Moved 230.3563 419.9369 279.4323 0.1387428 -0.2792381
Moved 230.3871 419 261.3311 0.1365741 -0.3257945
Moved 230.4178 419 254.2982 0.1365741 -0.3438832
Moved 230.4485 419 250.592 0.1365741 -0.3534156
Moved 230.4793 419 250 0.1365741 -0.3549383
Stationary 230.51 419 250 0.1365741 -0.3549383
Moved 230.5407 419 280.0968 0.1365741 -0.2775288
Moved 230.5715 419 300.4453 0.1365741 -0.2251922
Moved 230.6022 419 319.489 0.1365741 -0.1762114
Moved 230.633 411.3487 340.1724 0.1188627 -0.1230136
Moved 230.6638 386.021 360.9843 0.06023387 -0.06948495
Moved 230.6945 379.6638 363.5345 0.04551798 -0.06292579
