good jobs for those with education
Direct
0.6 0.6
432 388.8
Began 193.0818 355 373 -0.01157408 -0.03858032
Stationary 193.1125 355 373 -0.01157408 -0.03858032
Stationary 193.1432 355 373 -0.01157408 -0.03858032
Moved 193.174 395.4088 401.9009 0.08196484 0.03575321
Moved 193.2047 446.0138 440.7261 0.1991059 0.1356123
Moved 193.2354 478.7628 468.469 0.2749139 0.2069676
Moved 193.2662 497.9398 486.2832 0.3193052 0.2527859
Moved 193.2969 505.4166 497.8333 0.3366125 0.2824928
Moved 193.3277 507.47 501.9399 0.3413656 0.2930553
Moved 193.3584 498.8178 505.0228 0.3213375 0.3009844
Moved 193.3892 455.5627 496.9152 0.22121 0.2801315
Moved 193.4199 385.8735 460.5811 0.05989244 0.1866796
Moved 193.4506 336.3496 422.8068 -0.05474636 0.08952364
Moved 193.4814 315.4612 402.4612 -0.1030992 0.03719432
Moved 193.5121 308.0256 394.0256 -0.120311 0.01549799
Ended 193.5428 309 395 -0.1180555 0.01800408
Began 194.4344 445 375 0.1967593 -0.03343629
Stationary 194.4651 445 375 0.1967593 -0.03343629
Stationary 194.4959 445 375 0.1967593 -0.03343629
Moved 194.5265 489.454 420.5579 0.2996621 0.08373927
Moved 194.5573 518.3537 456.3584 0.3665596 0.1758189
Moved 194.588 535.0033 484.3389 0.4051002 0.2477851
Moved 194.6189 544.3441 499.2402 0.4267225 0.2861116
Moved 194.6496 547.0085 506.0085 0.4328901 0.3035198
Moved 194.6803 547 510.6001 0.4328704 0.3153293
Moved 194.711 547 512.8495 0.4328704 0.3211149
Moved 194.7418 547 515 0.4328704 0.326646
Moved 194.7725 532.1362 516 0.3984633 0.329218
Moved 194.8033 508.8987 497.6772 0.3446729 0.2820915
Moved 194.834 446.5613 420.2567 0.2003734 0.08296456
Moved 194.8647 414.1419 359.5823 0.1253285 -0.07309078
Moved 194.8955 397.4944 317.3843 0.0867926 -0.1816247
Moved 194.9261 390.6606 291.5295 0.07097374 -0.2481238
Moved 194.957 386.3256 275.9767 0.06093889 -0.2881256
Moved 194.9877 384.7723 268.3168 0.05734325 -0.3078273
Moved 195.0185 382.2341 266 0.05146782 -0.3137861
Moved 195.0492 372.8586 266 0.02976517 -0.3137861
Moved 195.0799 345.0991 293.1757 -0.03449276 -0.2438898
Moved 195.1107 311.2994 317.3362 -0.1127328 -0.1817485
Moved 195.1414 280.0051 339.9966 -0.1851734 -0.1234657
Moved 195.1721 263.5301 350.6819 -0.22331 -0.09598264
Ended 195.2029 256.5511 357.4489 -0.2394651 -0.07857797
Began 196.1867 317 367 -0.09953702 -0.05401234
Stationary 196.2174 317 367 -0.09953702 -0.05401234
Moved 196.2482 346.6718 367 -0.03085241 -0.05401234
Moved 196.2789 398.7465 396.5294 0.08969098 0.02193753
Moved 196.3096 439.227 415.6393 0.1833958 0.0710886
Moved 196.3404 480.379 441.4217 0.278655 0.1374014
Moved 196.3711 494.3446 452.2297 0.310983 0.1651998
Moved 196.4019 499.5956 459.1912 0.3231381 0.1831049
Moved 196.4326 501 463.7577 0.3263889 0.19485
Moved 196.4634 491.3298 470.1444 0.3040041 0.2112768
Moved 196.4941 459.3865 478.7081 0.2300614 0.2333025
Moved 196.5249 383.5074 485.9702 0.05441536 0.2519808
Moved 196.5556 336.4525 485 -0.05450815 0.2494856
Moved 196.5863 307.5851 485 -0.1213308 0.2494856
Moved 196.6171 304.5 485 -0.1284722 0.2494856
Ended 196.6478 304.5 485 -0.1284722 0.2494856
Began 197.1705 319 516 -0.09490739 0.329218
Stationary 197.2012 319 516 -0.09490739 0.329218
Moved 197.232 327.2856 508.543 -0.07572789 0.3100385
Moved 197.2627 355.6428 485.131 -0.0100862 0.2498225
Moved 197.2935 380.0988 455.3198 0.046525 0.1731476
Moved 197.3241 401.3409 419.1265 0.09569665 0.08005781
Moved 197.3549 410.9435 401.5848 0.1179247 0.03494019
Moved 197.3856 418.8585 389.8553 0.1362465 0.004771904
Moved 197.4164 422.3902 385.2196 0.1444218 -0.007151261
Moved 197.4471 429.1295 385 0.1600219 -0.007716127
Moved 197.4779 445.196 404.3948 0.197213 0.04216775
Moved 197.5086 464.1673 429.459 0.2411279 0.1066333
Moved 197.5394 484.0658 450.0657 0.2871893 0.159634
Moved 197.5701 499.8492 466.8492 0.323725 0.2028015
