type,1,2,3,4,5
Speed(1:3&1.25x),1,1,11,5,0
Speed(1:3&1.0x),0,1,4,7,6
Speed(1:3&0.75x),0,1,4,10,3
Speed(1:1&1.25x),2,2,9,5,0
Speed(1:1&1.0x),0,3,7,7,1
Speed(1:1&0.75x),2,4,5,5,2
Accuracy(1:3&1.25x),0,1,1,10,6
Accuracy(1:3&1.0x),0,0,2,6,10
Accuracy(1:3&0.75x),0,1,8,8,1
Accuracy(1:1&1.25x),1,2,5,6,4
Accuracy(1:1&1.0x),0,7,3,6,2
Accuracy(1:1&0.75x),5,7,3,3,0
Fatigue(1:3&1.25x),2,1,5,8,2
Fatigue(1:3&1.0x),0,2,3,5,8
Fatigue(1:3&0.75x),0,3,5,7,3
Fatigue(1:1&1.25x),0,5,5,5,3
Fatigue(1:1&1.0x),0,3,7,4,4
Fatigue(1:1&0.75x),3,3,5,4,3
Preference(1:3&1.25x),0,1,5,11,1
Preference(1:3&1.0x),0,0,1,10,7
Preference(1:3&0.75x),0,0,6,10,2
Preference(1:1&1.25x),0,4,6,6,2
Preference(1:1&1.0x),0,4,7,5,2
Preference(1:1&0.75x),4,5,6,3,0
