stiff penalty for staying out late
stiff penalty for staying out late
Basic
0.6 0.6
432 326.4
Moved 1191.464 487.91 474.692 0.2960878 0.3268749
Moved 1191.497 497.7212 484.9616 0.3187991 0.3583383
Moved 1191.538 506.6216 494.2431 0.3394018 0.3867742
Moved 1191.57 509.4913 497.9825 0.3460446 0.3982309
Moved 1191.614 496.1519 499 0.3151664 0.4013481
Moved 1191.651 428.4246 483.5693 0.1583903 0.3540727
Moved 1191.684 383.8226 475.665 0.05514503 0.3298562
Moved 1191.719 335.3904 463.561 -0.05696669 0.2927728
Moved 1191.753 318.9145 459.9829 -0.09510542 0.2818104
Moved 1191.808 300.0417 456.6806 -0.1387922 0.271693
Moved 1191.845 287.4556 457 -0.1679268 0.2726716
Moved 1191.882 278.5838 457 -0.1884633 0.2726716
Moved 1191.915 271.976 457 -0.2037594 0.2726716
Moved 1191.948 261.9492 457 -0.2269695 0.2726716
Moved 1191.983 256.2313 457 -0.2402053 0.2726716
Moved 1192.018 253.5 457 -0.2465278 0.2726716
Moved 1192.05 252.9093 457 -0.2478951 0.2726716
Ended 1192.085 251.6914 457 -0.2507143 0.2726716
Candidates 1192.149 5 gore core for court show
Began 1193.418 366 381 0.01388888 0.03982843
Moved 1193.459 396.7989 381 0.08518258 0.03982843
Moved 1193.494 462.2486 381 0.2366867 0.03982843
Moved 1193.53 485.4833 381 0.2904705 0.03982843
Moved 1193.563 497.2942 381 0.3178106 0.03982843
Moved 1193.595 503 381 0.3310186 0.03982843
Moved 1193.63 506.3702 381 0.33882 0.03982843
Moved 1193.663 508.3549 381 0.3434142 0.03982843
Ended 1193.696 510.1155 381 0.3474897 0.03982843
Accept 1193.745 for
Began 1194.347 242 342 -0.2731481 -0.07965678
Stationary 1194.391 242 342 -0.2731481 -0.07965678
Stationary 1194.423 242 342 -0.2731481 -0.07965678
Stationary 1194.456 242 342 -0.2731481 -0.07965678
Moved 1194.49 254.3269 361.1586 -0.2446137 -0.02095999
Moved 1194.525 282.1406 394.5468 -0.1802301 0.0813322
Moved 1194.558 327.4263 438.4263 -0.07540201 0.215767
Moved 1194.592 362.0481 472.048 0.004740854 0.3187746
Moved 1194.635 386.3573 501.2621 0.06101231 0.4082786
Moved 1194.668 390.3067 507.6135 0.07015446 0.4277373
Moved 1194.701 390 509.8518 0.06944448 0.434595
Moved 1194.734 390 511.2901 0.06944448 0.4390016
Moved 1194.768 340.5963 499.8165 -0.04491602 0.4038495
Moved 1194.802 292.1875 477.4844 -0.1569733 0.33543
Moved 1194.834 230.2755 434.1214 -0.3002881 0.2025778
Moved 1194.87 201.4836 404.4836 -0.3669361 0.1117756
Moved 1194.905 168.5994 368.3993 -0.4430569 0.001223321
Moved 1194.943 158.5921 353.3201 -0.466222 -0.04497509
Moved 1194.999 156 349.5 -0.4722222 -0.05667883
Moved 1195.032 156 350 -0.4722222 -0.05514706
Moved 1195.067 217.2078 380.6212 -0.3305376 0.03866804
Moved 1195.1 291.2539 419.127 -0.1591345 0.156639
Moved 1195.137 349.3553 456.8625 -0.02464046 0.2722503
Moved 1195.173 361.9816 465.9862 0.004587074 0.3002029
Moved 1195.208 369.7351 470.7351 0.02253493 0.3147521
Moved 1195.242 375 473.5 0.03472219 0.323223
Moved 1195.276 390.2617 479.4205 0.07005016 0.341362
Moved 1195.31 417.9896 484.5825 0.1342351 0.3571766
Moved 1195.369 458.7061 487 0.2284863 0.3645834
Moved 1195.402 470.2874 487 0.2552949 0.3645834
Moved 1195.433 477.3897 482.136 0.2717354 0.3496816
Moved 1195.467 482.3555 473.2891 0.2832302 0.3225769
Moved 1195.5 488.1108 457.4459 0.2965528 0.2740377
Moved 1195.537 490 415.1304 0.300926 0.1443947
Moved 1195.57 449.7616 341.5233 0.2077816 -0.08111748
Moved 1195.603 427.9764 296.7574 0.1573527 -0.2182676
Moved 1195.637 418.6728 273.0182 0.1358165 -0.2909979
Moved 1195.668 414.5 260.5 0.1261574 -0.3293505
Moved 1195.723 410 249.0297 0.1157407 -0.3644925
Moved 1195.757 408.5906 247.5906 0.1124781 -0.3689015
Moved 1195.789 398.5 258.5 0.08912037 -0.335478
Moved 1195.822 375.0614 293.9079 0.03486435 -0.2269979
Moved 1195.857 359.551 328.2348 -0.001039356 -0.1218297
Moved 1195.893 347.1784 357.8754 -0.02967954 -0.03101882
Moved 1195.927 344.0788 373.6062 -0.03685469 0.01717586
Moved 1195.961 343 386.9373 -0.03935183 0.05801883
Moved 1195.994 342.3418 395.3163 -0.04087538 0.08368984
Ended 1196.029 341 399 -0.04398147 0.09497554
Candidates 1196.089 5 starting staying stating starring staring
Began 1196.96 365 374 0.01157403 0.01838245
Stationary 1196.999 365 374 0.01157403 0.01838245
Stationary 1197.052 365 374 0.01157403 0.01838245
Stationary 1197.089 365 374 0.01157403 0.01838245
Moved 1197.123 344.8123 374 -0.03515666 0.01838245
Moved 1197.158 319.3844 374 -0.09401768 0.01838245
Moved 1197.198 291.6213 374 -0.1582839 0.01838245
Moved 1197.237 278.3088 374 -0.1891001 0.01838245
Moved 1197.271 270.3959 374 -0.2074169 0.01838245
Moved 1197.308 263.4613 374 -0.2234692 0.01838245
Moved 1197.34 259.3586 374 -0.2329663 0.01838245
Moved 1197.372 256.5 374 -0.2395834 0.01838245
Moved 1197.406 253.9919 374 -0.2453891 0.01838245
Moved 1197.437 251.1165 367 -0.2520452 -0.003063632
Moved 1197.469 248.2484 366 -0.2586842 -0.006127451
Moved 1197.501 245.3761 365 -0.2653332 -0.009191177
Moved 1197.551 243 364 -0.2708333 -0.01225481
Ended 1197.584 243 364 -0.2708333 -0.01225481
Accept 1197.617 staying
Began 1198.326 435 423 0.1736111 0.1685049
Stationary 1198.37 435 423 0.1736111 0.1685049
Stationary 1198.405 435 423 0.1736111 0.1685049
Stationary 1198.437 435 423 0.1736111 0.1685049
Stationary 1198.468 435 423 0.1736111 0.1685049
Stationary 1198.507 435 423 0.1736111 0.1685049
Moved 1198.542 422.224 435.7761 0.144037 0.2076472
Moved 1198.577 399.8021 449.7986 0.09213458 0.2506084
Moved 1198.613 378.6546 461.3402 0.04318197 0.2859688
Moved 1198.648 354 469.5 -0.01388888 0.3109682
Moved 1198.684 341.1167 473.1767 -0.04371141 0.3222325
Moved 1198.719 330.8557 475.0481 -0.06746361 0.327966
Moved 1198.761 321.2752 476 -0.08964082 0.3308824
Moved 1198.792 312.5985 476 -0.1097257 0.3308824
Moved 1198.823 299.3815 476 -0.1403206 0.3308824
Moved 1198.854 286.201 476 -0.1708309 0.3308824
Moved 1198.885 277.6795 476 -0.1905566 0.3308824
Moved 1198.916 269.9965 476 -0.2083414 0.3308824
Moved 1198.946 266.131 476 -0.2172893 0.3308824
Moved 1198.976 264 476 -0.2222222 0.3308824
Moved 1199.007 262.5 476 -0.2256944 0.3308824
Ended 1199.037 263 476 -0.2245371 0.3308824
Candidates 1199.107 5 utr hurt outer utter hitter
Began 1199.775 359 384 -0.002314796 0.04901971
Stationary 1199.821 359 384 -0.002314796 0.04901971
Stationary 1199.853 359 384 -0.002314796 0.04901971
Ended 1199.888 359 384 -0.002314796 0.04901971
Cancel 1199.946
Began 1200.158 513 486 0.3541666 0.3615196
Stationary 1200.204 513 486 0.3541666 0.3615196
Stationary 1200.24 513 486 0.3541666 0.3615196
Stationary 1200.276 513 486 0.3541666 0.3615196
Stationary 1200.31 513 486 0.3541666 0.3615196
Stationary 1200.344 513 486 0.3541666 0.3615196
Stationary 1200.379 513 486 0.3541666 0.3615196
Stationary 1200.409 513 486 0.3541666 0.3615196
Stationary 1200.444 513 486 0.3541666 0.3615196
Stationary 1200.478 513 486 0.3541666 0.3615196
Moved 1200.512 497.323 486 0.3178773 0.3615196
