that is a very nasty cut
that is a very nasty cut
FixStart
0.6 0.6
432 326.4
Began 241.2437 320 211 -0.09259259 -0.481005
Stationary 241.2731 320 211 -0.09259259 -0.481005
Stationary 241.2905 320 211 -0.09259259 -0.481005
Stationary 241.3083 320 211 -0.09259259 -0.481005
Moved 241.3259 320 230.7991 -0.09259259 -0.420346
Moved 241.3439 320 244.8241 -0.09259259 -0.3773771
Moved 241.3634 320 271.8202 -0.09259259 -0.2946686
Moved 241.3832 320 282.2322 -0.09259259 -0.2627689
Moved 241.4019 320 287.0645 -0.09259259 -0.2479641
Moved 241.4208 320 292.1539 -0.09259259 -0.2323717
Moved 241.4366 320 296.4314 -0.09259259 -0.2192666
Moved 241.4562 320 301.8072 -0.09259259 -0.2027967
Moved 241.4739 320 305.0334 -0.09259259 -0.1929122
Moved 241.4918 313.7951 306.8864 -0.1069558 -0.1872353
Moved 241.5188 310.2285 310.7715 -0.1152118 -0.1753325
Moved 241.5382 308.7943 313.4115 -0.1185318 -0.1672443
Moved 241.5572 306.7066 316.9401 -0.1233643 -0.1564336
Moved 241.5763 304.9192 321.2424 -0.1275018 -0.1432525
Moved 241.5947 300.368 328.8959 -0.138037 -0.1198043
Moved 241.6142 298.963 332.0739 -0.1412892 -0.1100677
Moved 241.6328 299 335 -0.1412037 -0.1011029
Moved 241.6501 298 335.9464 -0.1435185 -0.0982035
Moved 241.6675 298 337.3846 -0.1435185 -0.09379733
Moved 241.6848 298 338 -0.1435185 -0.09191177
Moved 241.7128 298 339.5 -0.1435185 -0.08731619
Stationary 241.7294 298 339.5 -0.1435185 -0.08731619
Moved 241.7478 298 339 -0.1435185 -0.08884795
Stationary 241.7696 298 339 -0.1435185 -0.08884795
Stationary 241.7886 298 339 -0.1435185 -0.08884795
Moved 241.8179 307.1746 330.8448 -0.122281 -0.1138333
Moved 241.8396 325.9547 303.068 -0.07880867 -0.1989338
Moved 241.8594 334.5104 288.816 -0.05900378 -0.2425979
Moved 241.8772 344.2743 274.1611 -0.0364021 -0.2874964
Moved 241.8963 351.4625 257.4901 -0.01976281 -0.3385722
Moved 241.9249 361.3446 238.3108 0.003112555 -0.3973323
Moved 241.9438 365.818 228.0913 0.01346757 -0.4286417
Moved 241.9617 372.2968 208.9613 0.02846469 -0.487251
Moved 241.9788 374.5834 203.6664 0.03375788 -0.503473
Moved 241.9962 376.0212 198.9364 0.03708611 -0.5179645
Moved 242.0157 376 197.5398 0.03703703 -0.5222433
Moved 242.0352 376 195.2297 0.03703703 -0.5293207
Stationary 242.0524 376 195.2297 0.03703703 -0.5293207
Moved 242.0699 376 194 0.03703703 -0.5330882
Stationary 242.0874 376 194 0.03703703 -0.5330882
Stationary 242.1131 376 194 0.03703703 -0.5330882
