experience is hard to come by
experience is hard to come by
Basic
0.6 0.6
432 326.4
Began 725.394 251 531 -0.2523148 0.4993872
Stationary 725.4409 251 531 -0.2523148 0.4993872
Stationary 725.4786 251 531 -0.2523148 0.4993872
Moved 725.5145 275.4513 486.5399 -0.1957146 0.3631735
Moved 725.5507 292.1149 454.7703 -0.1571415 0.2658403
Moved 725.5861 305.9531 423.6289 -0.1251085 0.1704317
Moved 725.6223 317.6375 398.0873 -0.09806126 0.0921794
Moved 725.6581 325.6107 380.1679 -0.07960489 0.03727913
Moved 725.6926 330.1736 365.1319 -0.06904255 -0.008787081
Moved 725.7275 336.2871 347.4258 -0.05489101 -0.06303357
Moved 725.7625 340.0467 335.813 -0.04618814 -0.09861189
Moved 725.7974 343.9175 326.165 -0.03722797 -0.128171
Moved 725.8322 346.7865 313.0674 -0.03058672 -0.1682985
Moved 725.8667 349.7581 299.7257 -0.02370805 -0.2091736
Moved 725.9015 351 290.729 -0.02083332 -0.2367371
Moved 725.9542 352 282.6338 -0.01851852 -0.2615387
Moved 725.9895 352 277.1361 -0.01851852 -0.2783819
Moved 726.0245 352 274.2674 -0.01851852 -0.287171
Moved 726.0598 352 271.5 -0.01851852 -0.2956494
Moved 726.0948 352 270.8579 -0.01851852 -0.2976166
Moved 726.1314 352 270 -0.01851852 -0.3002451
Moved 726.1682 352 269 -0.01851852 -0.3033088
Moved 726.204 352 268 -0.01851852 -0.3063726
Moved 726.2459 352 266.5 -0.01851852 -0.3109681
Moved 726.2835 353.1102 267 -0.01594866 -0.3094362
Stationary 726.3385 353.1102 267 -0.01594866 -0.3094362
Moved 726.3742 354.5 267 -0.0127315 -0.3094362
Moved 726.4097 355.0797 267 -0.0113897 -0.3094362
Moved 726.4448 367.6719 288.9407 0.01775911 -0.2422159
Moved 726.4796 405.174 334.2112 0.1045693 -0.1035195
Moved 726.5153 458.1073 391.1074 0.2271002 0.07079466
Moved 726.551 488.2549 422.2549 0.2968863 0.166222
Moved 726.5857 511.0714 446.0714 0.3497022 0.2391892
Moved 726.6212 527.5753 465.2191 0.3879056 0.2978525
Moved 726.6568 535 473 0.4050927 0.3216912
Moved 726.7141 539.251 477.251 0.4149328 0.334715
Moved 726.7499 532.9169 478 0.4002705 0.3370098
Moved 726.7923 494.4966 478 0.3113347 0.3370098
Moved 726.834 439.4498 468.9266 0.1839115 0.3092115
Moved 726.8719 401.1123 466.0795 0.09516736 0.3004887
Moved 726.9125 351.8251 462.7825 -0.01892338 0.2903876
Moved 726.9509 325.6678 460.1853 -0.07947256 0.2824305
Moved 726.9913 291.6085 456.8881 -0.1583136 0.2723288
Moved 727.0295 271.4867 451.2433 -0.2048919 0.2550349
Moved 727.0669 252.6167 446.3083 -0.2485724 0.2399153
Moved 727.1259 239.4222 444 -0.2791153 0.2328433
Moved 727.1634 236.5554 444 -0.2857513 0.2328433
Stationary 727.1997 237 444 -0.2847222 0.2328433
Moved 727.2379 286.8937 460.7272 -0.1692276 0.2840906
Moved 727.2753 337.7501 473.6471 -0.05150443 0.3236737
