the bathroom is good for reading
the bathroom is good for reading
FixStart
0.6 0.6
432 326.4
Began 2112.578 457 371 0.2245371 0.009191177
Stationary 2112.632 457 371 0.2245371 0.009191177
Moved 2112.68 438.0484 390.7322 0.1806676 0.06964525
Moved 2112.729 422.6704 425.324 0.1450703 0.1756251
Moved 2112.784 414.3734 450.1328 0.1258644 0.2516325
Moved 2112.834 410 469.0679 0.1157407 0.3096443
Moved 2112.885 409 475.3286 0.113426 0.3288253
Moved 2112.94 408 477 0.1111111 0.3339461
Stationary 2112.991 408 477 0.1111111 0.3339461
Moved 2113.042 417.8524 464.0886 0.1339176 0.294389
Moved 2113.094 460.2561 412.0345 0.2320744 0.1349096
Moved 2113.145 484.3654 379.2885 0.2878828 0.03458491
Moved 2113.196 497.9411 356.1178 0.3193082 -0.0364039
Moved 2113.249 503.2457 346.7543 0.3315872 -0.0650908
Moved 2113.299 498.6259 345 0.3208932 -0.07046569
Moved 2113.374 452.4351 385.5649 0.2139701 0.05381402
Moved 2113.429 419.9855 416.5109 0.1388554 0.1486239
Moved 2113.479 381.9675 455.1616 0.05085071 0.2670391
Moved 2113.531 364.3484 479.0645 0.01006583 0.340271
Moved 2113.585 350.297 502.5546 -0.02246072 0.4122382
Moved 2113.639 344.852 514.1479 -0.03506476 0.4477572
Ended 2113.701 345 519.9031 -0.03472224 0.4653896
Candidates 2113.801 5 the there threw where regret
Began 2114.117 448 292 0.2037037 -0.232843
Moved 2114.171 415.5164 374.8699 0.1285102 0.02104759
Moved 2114.219 404.5 458.5 0.1030092 0.2772671
Ended 2114.268 405 468 0.1041667 0.3063726
Accept 2114.314 the
Began 2114.79 486 488 0.2916667 0.3676471
Moved 2114.853 478.5484 468.4193 0.2744175 0.3076572
Moved 2114.901 477 433.5881 0.2708333 0.2009439
Moved 2114.951 488.9723 392.6974 0.2985469 0.07566625
Moved 2115.004 503.1504 338.5488 0.3313668 -0.09023041
Moved 2115.056 514.0302 300.8942 0.3565514 -0.2055939
Moved 2115.107 517.298 285.1058 0.3641158 -0.253965
Moved 2115.159 498.8772 287.1228 0.3214749 -0.2477854
Moved 2115.21 459.7203 316.1865 0.2308341 -0.1587425
Moved 2115.261 404.1278 362.9017 0.1021477 -0.01561969
Moved 2115.32 338.4969 405.6129 -0.04977579 0.1152356
Moved 2115.373 294.4858 427.2571 -0.1516532 0.1815474
Moved 2115.425 279.2283 433.3859 -0.1869716 0.2003243
Moved 2115.494 277 439.4205 -0.1921296 0.218813
