you want to eat your cake
you want to eat your cake
Basic
0.6 0.6
432 326.4
Moved 1259.69 192.6346 333.012 -0.3874198 -0.1071936
Moved 1259.726 283.7307 320.0802 -0.1765492 -0.1468131
Moved 1259.761 353.8371 317.8227 -0.01426607 -0.1537295
Moved 1259.795 407.9684 298.5598 0.1110379 -0.2127457
Moved 1259.83 430.9325 286.0405 0.1641957 -0.2511015
Moved 1259.865 440.709 276.291 0.1868264 -0.2809712
Moved 1259.899 444.7194 272.2806 0.1961096 -0.2932579
Moved 1259.936 446 270.3004 0.199074 -0.2993248
Moved 1259.97 440.3328 278.5008 0.1859556 -0.274201
Moved 1260.003 410.7119 334.5762 0.1173887 -0.1024014
Moved 1260.057 371.5613 432.129 0.02676219 0.1964737
Moved 1260.091 365.6272 452.4321 0.0130258 0.2586766
Moved 1260.124 362.5 465 0.005787015 0.2971814
Moved 1260.158 359.8727 472.2546 -0.000294745 0.3194076
Moved 1260.192 359.0016 478.9968 -0.002311121 0.3400638
Ended 1260.23 357.6813 483.3187 -0.005367299 0.3533048
Candidates 1260.334 5 want any rant danny range
Began 1260.72 385 301 0.05787035 -0.2052697
Stationary 1260.773 385 301 0.05787035 -0.2052697
Moved 1260.809 385 329.0609 0.05787035 -0.1192988
Moved 1260.845 385 348.6158 0.05787035 -0.05938792
Moved 1260.881 376.4161 364.1313 0.03800034 -0.0118524
Moved 1260.919 375.5 380.5 0.03587961 0.03829657
Moved 1260.953 376 389.162 0.03703703 0.0648348
Moved 1260.988 375 393.8928 0.03472219 0.0793285
Moved 1261.022 375 396.8231 0.03472219 0.08830594
Ended 1261.055 375 397 0.03472219 0.08884814
Accept 1261.088 want
Began 1261.415 314 435 -0.1064815 0.2052697
Stationary 1261.46 314 435 -0.1064815 0.2052697
Stationary 1261.495 314 435 -0.1064815 0.2052697
Stationary 1261.531 314 435 -0.1064815 0.2052697
Moved 1261.568 330.5 435 -0.06828706 0.2052697
Moved 1261.604 350.4247 444.761 -0.02216493 0.2351748
Moved 1261.639 388.2836 451.5052 0.06547133 0.255837
Moved 1261.674 441.6489 458.4415 0.1890019 0.2770878
Moved 1261.71 459.4656 460.0931 0.2302445 0.2821482
Moved 1261.746 472.8586 461 0.2612468 0.2849264
Moved 1261.781 484.7161 461 0.2886947 0.2849264
Moved 1261.816 489.7769 461 0.3004094 0.2849264
Moved 1261.851 493.6463 462 0.3093665 0.2879903
Moved 1261.901 499.2605 462 0.3223622 0.2879903
Moved 1261.938 507.8682 462 0.3422875 0.2879903
Ended 1261.974 511.5 462 0.3506944 0.2879903
Candidates 1262.009 5 to too rio trip top
Began 1262.429 404 360 0.1018518 -0.0245098
Stationary 1262.479 404 360 0.1018518 -0.0245098
Stationary 1262.518 404 360 0.1018518 -0.0245098
Moved 1262.554 404 384.6519 0.1018518 0.05101681
Moved 1262.59 404 398.2227 0.1018518 0.09259397
Moved 1262.626 411.5415 418.7074 0.1193089 0.1553536
Moved 1262.665 413.0767 431.3835 0.1228627 0.1941896
Moved 1262.705 415 448.7764 0.1273148 0.2474768
Moved 1262.744 415 454.5089 0.1273148 0.2650395
Ended 1262.782 415 456 0.1273148 0.2696078
Accept 1262.823 to
Began 1263.076 298 432 -0.1435185 0.1960785
Stationary 1263.123 298 432 -0.1435185 0.1960785
Moved 1263.166 289.2899 441.7988 -0.1636808 0.2260994
Moved 1263.218 262.5513 462.3739 -0.2255757 0.2891357
Moved 1263.276 248.1923 474.8077 -0.258814 0.3272294
Moved 1263.32 244.2533 477.7467 -0.2679322 0.3362338
Moved 1263.354 242.6911 478 -0.2715483 0.3370098
Moved 1263.388 241.5114 478 -0.2742792 0.3370098
Moved 1263.422 240.9807 478 -0.2755076 0.3370098
Moved 1263.458 224.7811 452.6716 -0.3130067 0.2594106
Moved 1263.493 201.1434 416.983 -0.3677237 0.1500703
Moved 1263.532 181.7719 385.1008 -0.4125652 0.05239211
Moved 1263.568 168.8539 363.8539 -0.4424677 -0.01270229
Moved 1263.604 168 361.0566 -0.4444444 -0.02127255
Moved 1263.641 168 359.1215 -0.4444444 -0.02720141
Moved 1263.693 179.4901 359 -0.4178469 -0.02757344
