they might find your comment offensive
they might find your comment offensive
FixStart
0.6 0.6
432 326.4
Moved 1052.94 379 277 0.04398147 -0.278799
Moved 1052.985 392.1765 277 0.07448256 -0.278799
Moved 1053.037 440.6675 277 0.1867303 -0.278799
Moved 1053.105 456.1951 287 0.2226739 -0.2481617
Moved 1053.152 458 293.9875 0.2268519 -0.2267539
Moved 1053.192 426.3646 336.026 0.1536217 -0.09795956
Moved 1053.234 396.2919 378.933 0.08400897 0.03349585
Moved 1053.276 386.1368 398.1053 0.0605019 0.09223434
Moved 1053.319 378.7788 418.0531 0.04346937 0.153349
Ended 1053.361 376.9546 427.3176 0.03924678 0.1817329
Candidates 1053.453 5 might night mighty bought mother
Began 1053.821 406 269 0.1064815 -0.3033088
Stationary 1053.876 406 269 0.1064815 -0.3033088
Moved 1053.921 406 291.2548 0.1064815 -0.2351262
Moved 1053.962 406 341.2185 0.1064815 -0.08205115
Moved 1054.003 406 364.6162 0.1064815 -0.010367
Moved 1054.045 406 369.7843 0.1064815 0.005466611
Moved 1054.087 406 375.0038 0.1064815 0.02145767
Moved 1054.13 406 377 0.1064815 0.02757353
Ended 1054.172 406 377 0.1064815 0.02757353
Accept 1054.213 might
Began 1054.353 360 279 0 -0.2726715
Stationary 1054.395 360 279 0 -0.2726715
Stationary 1054.436 360 279 0 -0.2726715
Stationary 1054.477 360 279 0 -0.2726715
Stationary 1054.523 360 279 0 -0.2726715
Stationary 1054.566 360 279 0 -0.2726715
Stationary 1054.608 360 279 0 -0.2726715
Stationary 1054.649 360 279 0 -0.2726715
Stationary 1054.689 360 279 0 -0.2726715
Moved 1054.737 360 289.2522 0 -0.2412616
Moved 1054.781 349.7575 291.2425 -0.02370949 -0.2351639
Moved 1054.827 340.6487 292 -0.04479473 -0.232843
Moved 1054.873 331.0501 293 -0.06701355 -0.2297794
Moved 1054.917 323.3215 294 -0.08490393 -0.2267157
Moved 1054.959 316.2458 295 -0.1012829 -0.223652
Moved 1055.003 311.9366 297.0635 -0.111258 -0.2173301
Moved 1055.047 309.4228 297 -0.1170769 -0.2175244
Moved 1055.09 304.251 298 -0.1290485 -0.2144608
Moved 1055.135 300.0947 298 -0.1386698 -0.2144608
Moved 1055.21 298 301.0104 -0.1435185 -0.2052378
Moved 1055.258 310.1209 313.0504 -0.1154609 -0.1683506
Moved 1055.3 389.6466 364.4605 0.0686263 -0.01084403
Moved 1055.344 451.5 404.5 0.2118056 0.111826
Moved 1055.394 490.859 427.2051 0.3029144 0.1813883
Moved 1055.439 507.6949 436.8474 0.3418863 0.2109296
Moved 1055.482 512.8262 438 0.3537644 0.2144608
Moved 1055.526 515.0649 438 0.3589467 0.2144608
Moved 1055.568 504.0391 382.0889 0.3334239 0.0431647
Moved 1055.611 476.1566 292.6788 0.2688811 -0.2307636
Moved 1055.674 462.6565 224.9545 0.2376308 -0.4382522
Moved 1055.715 458.313 198.2518 0.2275763 -0.5200617
Moved 1055.755 456 185.0853 0.2222222 -0.5604004
Moved 1055.795 453.7406 181.3704 0.2169921 -0.5717821
Moved 1055.835 443.757 177 0.1938819 -0.5851716
Moved 1055.875 424.8855 177 0.1501979 -0.5851716
Moved 1055.921 365.5388 221.8458 0.01282136 -0.4477763
Moved 1055.966 325.5466 255.5315 -0.07975315 -0.3445725
Moved 1056.008 300.898 277.8816 -0.1368102 -0.2760981
Moved 1056.051 290.6049 288.3951 -0.1606369 -0.2438873
Ended 1056.118 290 291 -0.162037 -0.2359069
Candidates 1056.206 5 rooms find fond tons doing
Began 1056.943 393 265 0.07638891 -0.3155637
Stationary 1056.995 393 265 0.07638891 -0.3155637
Moved 1057.038 373.3036 265 0.03079554 -0.3155637
Moved 1057.082 314.7981 274.6891 -0.104634 -0.2858789
Moved 1057.127 285.9105 275 -0.1715034 -0.2849265
Moved 1057.173 277.9633 275 -0.1898997 -0.2849265
Moved 1057.217 274.8411 275 -0.197127 -0.2849265
Moved 1057.259 273.6266 275 -0.1999385 -0.2849265
Ended 1057.302 274 276 -0.199074 -0.2818629
Accept 1057.353 find
Began 1057.542 420 248 0.1388889 -0.3676471
Stationary 1057.582 420 248 0.1388889 -0.3676471
Stationary 1057.626 420 248 0.1388889 -0.3676471
Stationary 1057.669 420 248 0.1388889 -0.3676471
Moved 1057.712 420 285.6871 0.1388889 -0.2521839
Moved 1057.757 409.5 323.5 0.1145834 -0.1363358
Moved 1057.799 412 341.6764 0.1203704 -0.08064822
Moved 1057.84 412 355.0496 0.1203704 -0.03967631
Moved 1057.884 412 360.633 0.1203704 -0.02257039
Moved 1057.924 451.0541 374.6362 0.2107734 0.0203314
Moved 1057.965 481.9578 380.7958 0.2823097 0.03920284
Moved 1058.006 510.5327 383.7904 0.3484553 0.04837747
Moved 1058.05 544.8048 384 0.4277889 0.04901971
Moved 1058.095 564.1178 385.0392 0.4724948 0.05220362
Moved 1058.141 573.7286 386.3643 0.4947421 0.05626323
Moved 1058.186 576 387 0.5000001 0.05821083
Moved 1058.228 566.7099 387 0.4784952 0.05821083
Moved 1058.271 474.989 388 0.2661782 0.06127456
Moved 1058.342 382.1574 372.3683 0.0512902 0.01338323
Moved 1058.385 350.9427 367.3885 -0.02096608 -0.001873316
Moved 1058.428 339.5688 365 -0.0472944 -0.009191177
Moved 1058.471 332.5694 364 -0.06349678 -0.01225481
Moved 1058.519 329.7039 364 -0.07012998 -0.01225481
Ended 1058.567 329 364 -0.07175927 -0.01225481
Candidates 1058.681 5 tour type your tie route
Began 1059.036 411 245 0.1180555 -0.3768383
Stationary 1059.088 411 245 0.1180555 -0.3768383
Stationary 1059.129 411 245 0.1180555 -0.3768383
Stationary 1059.172 411 245 0.1180555 -0.3768383
Stationary 1059.213 411 245 0.1180555 -0.3768383
Stationary 1059.254 411 245 0.1180555 -0.3768383
Stationary 1059.294 411 245 0.1180555 -0.3768383
Stationary 1059.334 411 245 0.1180555 -0.3768383
Stationary 1059.38 411 245 0.1180555 -0.3768383
Stationary 1059.421 411 245 0.1180555 -0.3768383
Stationary 1059.46 411 245 0.1180555 -0.3768383
Stationary 1059.5 411 245 0.1180555 -0.3768383
Stationary 1059.541 411 245 0.1180555 -0.3768383
Stationary 1059.582 411 245 0.1180555 -0.3768383
Stationary 1059.63 411 245 0.1180555 -0.3768383
Stationary 1059.675 411 245 0.1180555 -0.3768383
Stationary 1059.739 411 245 0.1180555 -0.3768383
Ended 1059.781 411 245 0.1180555 -0.3768383
Cancel 1059.825
Began 1060.252 420 240 0.1388889 -0.3921569
Stationary 1060.312 420 240 0.1388889 -0.3921569
Stationary 1060.354 420 240 0.1388889 -0.3921569
Moved 1060.399 414.4403 251.0848 0.1260192 -0.358196
Moved 1060.444 404.0616 268.8768 0.1019944 -0.3036861
Moved 1060.488 399.0735 291.5587 0.09044806 -0.234195
Moved 1060.532 399 305.6938 0.09027779 -0.1908891
Moved 1060.575 410 316 0.1157407 -0.1593137
Moved 1060.621 427.5 330.5 0.15625 -0.1148897
Moved 1060.666 471.4258 348.2645 0.2579301 -0.06046398
Moved 1060.712 518.3295 359.5549 0.3665035 -0.02587328
Moved 1060.759 551.5223 366.087 0.4433387 -0.005860703
Moved 1060.802 568.0716 370.0179 0.4816472 0.006182334
Moved 1060.846 574.3108 371 0.4960898 0.009191177
Moved 1060.907 575 371 0.4976852 0.009191177
Moved 1060.95 546.7465 372 0.4322836 0.012255
Moved 1060.996 442.2414 356.1129 0.1903736 -0.03641886
Moved 1061.043 400.5036 352.1671 0.09375831 -0.04850781
Moved 1061.089 374.3036 347.8607 0.03311018 -0.06170123
Moved 1061.131 355.2402 346 -0.01101812 -0.06740196
Moved 1061.175 345.1294 346 -0.03442268 -0.06740196
Moved 1061.216 339.2688 346 -0.04798884 -0.06740196
Moved 1061.257 337.7982 346 -0.05139301 -0.06740196
Ended 1061.303 338 346 -0.05092591 -0.06740196
Candidates 1061.383 5 tour your type route tie
Began 1061.773 380 255 0.04629632 -0.3462009
Stationary 1061.831 380 255 0.04629632 -0.3462009
Stationary 1061.873 380 255 0.04629632 -0.3462009
Stationary 1061.915 380 255 0.04629632 -0.3462009
Stationary 1061.958 380 255 0.04629632 -0.3462009
Stationary 1062.001 380 255 0.04629632 -0.3462009
Stationary 1062.042 380 255 0.04629632 -0.3462009
Stationary 1062.081 380 255 0.04629632 -0.3462009
Stationary 1062.122 380 255 0.04629632 -0.3462009
Stationary 1062.164 380 255 0.04629632 -0.3462009
Stationary 1062.204 380 255 0.04629632 -0.3462009
Stationary 1062.245 380 255 0.04629632 -0.3462009
Moved 1062.287 349.0773 255 -0.02528394 -0.3462009
Moved 1062.344 303.5585 255 -0.1306517 -0.3462009
Moved 1062.387 283.6466 255 -0.176744 -0.3462009
Moved 1062.432 273.9688 255 -0.1991462 -0.3462009
Moved 1062.477 267.675 255 -0.2137152 -0.3462009
Moved 1062.527 265 255 -0.2199074 -0.3462009
Ended 1062.572 265 255 -0.2199074 -0.3462009
Accept 1062.611 your
Began 1062.758 423 305 0.1458333 -0.1930146
Stationary 1062.811 423 305 0.1458333 -0.1930146
Stationary 1062.854 423 305 0.1458333 -0.1930146
Stationary 1062.898 423 305 0.1458333 -0.1930146
Stationary 1062.947 423 305 0.1458333 -0.1930146
Stationary 1062.992 423 305 0.1458333 -0.1930146
Moved 1063.036 410.1271 291.1271 0.1160351 -0.2355174
Moved 1063.079 366.5341 244.5404 0.01512537 -0.3782463
Moved 1063.121 345.4777 221.6887 -0.03361652 -0.4482575
Moved 1063.166 320.5436 189.5436 -0.09133424 -0.5467415
Moved 1063.212 310.9712 177.9712 -0.1134926 -0.582196
Moved 1063.256 310 177 -0.1157407 -0.5851716
Moved 1063.299 308.5 177 -0.119213 -0.5851716
Moved 1063.344 394.5066 302.2811 0.07987629 -0.2013447
Moved 1063.407 450.112 357.8103 0.2085926 -0.03121844
Moved 1063.454 483.369 387.369 0.2855765 0.05934131
Moved 1063.503 518.8348 412.7009 0.3676731 0.1369512
Moved 1063.546 531.1377 419 0.396152 0.1562501
Moved 1063.589 535.8733 421 0.4071141 0.1623774
Moved 1063.631 539.1697 422 0.4147446 0.1654412
Moved 1063.673 543.7014 394.4786 0.4252347 0.08112333
Moved 1063.714 546 317.8478 0.4305556 -0.1536525
Moved 1063.756 546 260.6024 0.4305556 -0.3290367
Moved 1063.796 546 229.2822 0.4305556 -0.4249932
Moved 1063.864 546 195.8123 0.4305556 -0.527536
Moved 1063.906 538.4747 191 0.4131359 -0.5422794
Moved 1063.948 517.0865 198.2928 0.3636261 -0.5199361
Moved 1063.992 439.8256 272.2258 0.1847815 -0.2934257
Moved 1064.037 376.2552 341.8594 0.03762781 -0.08008771
Moved 1064.085 335.1436 373.1423 -0.05753785 0.01575451
Moved 1064.131 305.2449 392.053 -0.1267478 0.07369191
Moved 1064.176 292.6987 393.6507 -0.1557901 0.07858679
Moved 1064.219 287.3844 394 -0.1680916 0.07965691
Moved 1064.261 283.5 394 -0.1770833 0.07965691
Moved 1064.335 378.8683 280.4255 0.0436765 -0.2683042
Moved 1064.379 431.5152 226.7079 0.1655445 -0.4328803
Moved 1064.424 465.2975 189.7025 0.2437443 -0.5462545
Moved 1064.469 489.4277 167.5724 0.299601 -0.6140552
Moved 1064.517 499.2805 159.7195 0.3224086 -0.6381144
Moved 1064.564 504.5 157.5 0.3344907 -0.6449142
Moved 1064.608 505 169.0459 0.3356481 -0.6095407
Moved 1064.651 481.243 208.2212 0.280655 -0.4895184
Moved 1064.695 452.2425 256.1168 0.2135242 -0.3427794
Moved 1064.742 414.0846 330.7779 0.1251958 -0.1140383
Moved 1064.81 396.2497 374.6261 0.08391131 0.02030055
Moved 1064.855 393 387.3458 0.07638891 0.05927021
Moved 1064.904 392 393.6068 0.07407407 0.0784522
Ended 1064.948 392 395 0.07407407 0.08272064
Candidates 1065.001 5 comment content constant consent argument
Began 1065.45 434 256 0.1712963 -0.3431373
Stationary 1065.503 434 256 0.1712963 -0.3431373
Moved 1065.55 434 265.6805 0.1712963 -0.313479
Moved 1065.593 434 302.9962 0.1712963 -0.1991539
Moved 1065.635 434 331.5087 0.1712963 -0.1117994
Moved 1065.678 434 344.5676 0.1712963 -0.07179046
Moved 1065.72 434 349.6589 0.1712963 -0.05619199
Moved 1065.761 434 352.5 0.1712963 -0.04748775
Ended 1065.801 434 353 0.1712963 -0.04595589
Accept 1065.841 comment
Began 1066.02 431 280 0.1643519 -0.2696078
Stationary 1066.072 431 280 0.1643519 -0.2696078
Stationary 1066.117 431 280 0.1643519 -0.2696078
Stationary 1066.159 431 280 0.1643519 -0.2696078
Stationary 1066.202 431 280 0.1643519 -0.2696078
Stationary 1066.244 431 280 0.1643519 -0.2696078
Stationary 1066.286 431 280 0.1643519 -0.2696078
Moved 1066.327 457.2489 297.8049 0.2251131 -0.2150583
Moved 1066.371 514.4462 340.4935 0.3575144 -0.08427237
Moved 1066.418 553.3705 363.4974 0.447617 -0.01379462
Moved 1066.463 577.7267 383.7267 0.5039971 0.04818244
Moved 1066.509 587.8699 394.7397 0.5274765 0.0819233
Moved 1066.559 591.1704 399.1704 0.5351167 0.09549763
Moved 1066.603 591 401.3265 0.5347222 0.1021032
Moved 1066.646 591 402 0.5347222 0.1041667
Moved 1066.711 557.9988 395.874 0.4583306 0.08539817
Moved 1066.763 466.2759 331.638 0.2460091 -0.1114032
Moved 1066.806 445.6005 316.6804 0.1981494 -0.1572291
Moved 1066.849 422.9872 295.9872 0.1458037 -0.2206275
Moved 1066.894 406.1788 281.8841 0.1068955 -0.2638355
Moved 1066.937 395.6415 272.6415 0.08250345 -0.2921522
Moved 1066.979 389.9046 267.9046 0.06922363 -0.3066648
Moved 1067.031 383.0721 264 0.05340755 -0.3186274
Moved 1067.075 379.7727 263 0.04577011 -0.3216912
Moved 1067.116 378.6271 263 0.0431183 -0.3216912
Moved 1067.184 376.8785 263 0.03907064 -0.3216912
Moved 1067.226 375.8136 263 0.0366055 -0.3216912
Stationary 1067.268 375.8136 263 0.0366055 -0.3216912
Moved 1067.312 375 263 0.03472219 -0.3216912
Moved 1067.355 373.6266 263 0.03154298 -0.3216912
Stationary 1067.397 374 263 0.03240744 -0.3216912
Stationary 1067.439 374 263 0.03240744 -0.3216912
Stationary 1067.479 374 263 0.03240744 -0.3216912
Moved 1067.522 373 263 0.0300926 -0.3216912
Moved 1067.565 372 263 0.02777775 -0.3216912
Moved 1067.635 364.8494 288.6024 0.01122544 -0.2432524
Moved 1067.679 357.1135 305.773 -0.006681731 -0.1906464
Moved 1067.725 349.1194 336.5222 -0.02518649 -0.09643948
Moved 1067.771 339.5265 373.6306 -0.04739229 0.01725066
Moved 1067.819 334.3068 402.4661 -0.059475 0.1055945
Moved 1067.867 333 414.994 -0.06249999 0.1439768
Moved 1067.915 330.5 419.5 -0.06828706 0.1577819
Moved 1067.957 356.9236 400.5573 -0.007121315 0.09974676
Moved 1068.003 443.5037 305.7445 0.1932955 -0.1907338
Moved 1068.047 493.5 228 0.3090277 -0.4289216
Moved 1068.117 520.462 186.076 0.3714398 -0.5573649
Moved 1068.16 525 174.6565 0.3819444 -0.5923516
Moved 1068.205 526 167.5354 0.3842592 -0.6141685
Moved 1068.249 526 163.6531 0.3842592 -0.6260629
Moved 1068.291 526 161.5 0.3842592 -0.6326593
Moved 1068.334 518.3767 160.3767 0.3666128 -0.6361008
Moved 1068.386 507.9549 160 0.3424883 -0.6372548
Moved 1068.43 498.0424 160 0.3195427 -0.6372548
Moved 1068.475 491.4971 170.5029 0.3043915 -0.6050768
Moved 1068.52 484.8893 174.5554 0.2890956 -0.592661
Moved 1068.599 476.6038 180.3961 0.2699163 -0.5747668
Moved 1068.644 465.208 185.698 0.2435371 -0.5585232
Moved 1068.688 435.2042 190.644 0.1740837 -0.5433699
Moved 1068.733 403.805 192 0.1014004 -0.5392156
Moved 1068.778 362.3002 192.8142 0.005324583 -0.5367212
Moved 1068.823 340.7364 196.8159 -0.04459168 -0.5244611
Moved 1068.868 331.8889 202.1111 -0.06507188 -0.5082381
Moved 1068.912 326.9409 209.1182 -0.0765257 -0.4867704
Moved 1068.954 324 221.1392 -0.08333336 -0.4499413
Moved 1068.999 322.3221 232.3558 -0.08721739 -0.4155765
Moved 1069.066 322 240.0435 -0.08796295 -0.3920237
Moved 1069.109 322 245.3441 -0.08796295 -0.375784
Moved 1069.15 322 248.3181 -0.08796295 -0.3666725
Moved 1069.193 322 250.1843 -0.08796295 -0.3609548
Moved 1069.239 320.7575 252.2426 -0.09083918 -0.3546491
Moved 1069.28 321 254.0046 -0.09027779 -0.3492505
Moved 1069.32 319.5 258.5 -0.09375001 -0.335478
Moved 1069.36 320 260.2255 -0.09259259 -0.3301914
Moved 1069.401 318.3992 263 -0.09629821 -0.3216912
Moved 1069.444 317 266 -0.09953702 -0.3125
Moved 1069.514 316 271.1442 -0.1018519 -0.2967395
Moved 1069.558 316 275.6022 -0.1018519 -0.2830814
Moved 1069.602 316 279.5387 -0.1018519 -0.2710212
Moved 1069.647 330.3752 292.3752 -0.06857604 -0.2316937
Moved 1069.694 374.1242 321.7495 0.03269484 -0.141699
Moved 1069.741 428.1064 353.4918 0.1576538 -0.04444936
Moved 1069.786 461.2908 369.234 0.2344694 0.003780664
Moved 1069.833 488.2002 385.1001 0.2967598 0.05239005
Moved 1069.884 511.6559 398.3279 0.3510553 0.09291654
Moved 1069.93 524.9916 402.6639 0.3819251 0.1062007
Moved 1070.003 530 404 0.3935185 0.1102942
Moved 1070.05 468.204 292.8093 0.2504721 -0.2303636
Moved 1070.095 444.4945 235.8881 0.1955892 -0.4047547
Moved 1070.141 427.8956 198.739 0.1571657 -0.5185692
Moved 1070.184 416.0153 173.0306 0.1296651 -0.5973326
Moved 1070.226 411.5 160.5 0.119213 -0.635723
Moved 1070.271 409.5 156.5 0.1145834 -0.6479779
Moved 1070.314 410 155.978 0.1157407 -0.6495771
Moved 1070.357 409 156 0.113426 -0.6495098
Moved 1070.401 373.606 320.2374 0.03149549 -0.1463316
Moved 1070.47 358.785 382.7525 -0.002812495 0.04519762
Moved 1070.521 350.1079 408.8922 -0.02289842 0.1252823
Moved 1070.565 348 413.892 -0.0277778 0.1406006
Ended 1070.608 348 414.5 -0.0277778 0.1424633
Candidates 1070.657 5 offensive distinctive intensive defensive predictive
Began 1071.168 389 287 0.06712963 -0.2481617
Stationary 1071.222 389 287 0.06712963 -0.2481617
Moved 1071.266 389 303.6147 0.06712963 -0.1972588
Moved 1071.311 403.116 342.3479 0.09980549 -0.07859091
Moved 1071.356 408.3289 363.3155 0.1118724 -0.01435196
Moved 1071.402 409 370.3043 0.113426 0.007059901
Ended 1071.445 409 371.5 0.113426 0.01072313
Accept 1071.503 offensive
PhraseEnd 1072.046
